city,state,price,bedroom_number,bathroom_number,price_per_unit
Brooklyn,NY,1845000.0,5.0,4.0,396.0
Brooklyn,NY,1249000.0,4.0,3.0,
Brooklyn,NY,1399000.0,4.0,4.0,471.0
Brooklyn,NY,599000.0,2.0,2.0,690.0
Brooklyn,NY,1495000.0,13.0,10.0,255.0
Brooklyn,NY,825000.0,5.0,2.0,
Brooklyn,NY,1475000.0,6.0,4.0,587.0
Brooklyn,NY,1500000.0,4.0,2.0,660.0
Brooklyn,NY,1089000.0,6.0,6.0,223.0
Brooklyn,NY,720000.0,3.0,2.0,777.0
Brooklyn,NY,515000.0,1.0,1.0,886.0
Brooklyn,NY,1550000.0,7.0,3.0,352.0
Brooklyn,NY,1750000.0,8.0,4.0,700.0
Brooklyn,NY,1650000.0,5.0,3.0,489.0
Brooklyn,NY,899000.0,5.0,3.0,408.0
Brooklyn,NY,575000.0,1.0,1.0,
Brooklyn,NY,1350000.0,2.0,2.0,1181.0
Brooklyn,NY,599000.0,1.0,1.0,
Brooklyn,NY,975000.0,2.0,3.0,650.0
Brooklyn,NY,1695000.0,5.0,3.0,627.0
Brooklyn,NY,400000.0,0.0,2.0,632.0
Brooklyn,NY,899000.0,2.0,2.0,968.0
Brooklyn,NY,1300000.0,10.0,4.0,398.0
Brooklyn,NY,1300000.0,,4.0,398.0
Brooklyn,NY,769000.0,2.0,2.0,912.0
Brooklyn,NY,1675000.0,8.0,3.0,558.0
Brooklyn,NY,1399000.0,5.0,5.0,536.0
Brooklyn,NY,1495000.0,6.0,6.0,362.0
Brooklyn,NY,929000.0,3.0,2.0,919.0
Brooklyn,NY,1650000.0,6.0,4.0,519.0
Brooklyn,NY,379000.0,0.0,1.0,891.0
Brooklyn,NY,1250000.0,7.0,6.0,
Brooklyn,NY,1098000.0,6.0,5.0,326.0
Brooklyn,NY,838000.0,3.0,2.0,537.0
Brooklyn,NY,798000.0,3.0,2.0,673.0
Brooklyn,NY,779000.0,3.0,2.0,579.0
Brooklyn,NY,875000.0,3.0,3.0,431.0
Brooklyn,NY,859000.0,3.0,3.0,340.0
Brooklyn,NY,669000.0,2.0,2.0,669.0
Brooklyn,NY,799000.0,3.0,2.0,679.0
Brooklyn,NY,259000.0,2.0,1.0,304.0
Brooklyn,NY,250000.0,2.0,1.0,
Brooklyn,NY,175000.0,2.0,1.0,205.0
Brooklyn,NY,850000.0,,2.0,578.0
Brooklyn,NY,230000.0,1.0,1.0,230.0
Brooklyn,NY,838999.0,3.0,3.0,381.0
Brooklyn,NY,559000.0,3.0,2.0,302.0
Brooklyn,NY,239000.0,2.0,1.0,281.0
Brooklyn,NY,759000.0,3.0,3.0,558.0
Brooklyn,NY,1075000.0,4.0,3.0,568.0
Brooklyn,NY,250000.0,,,
Brooklyn,NY,749000.0,3.0,2.0,650.0
Brooklyn,NY,219000.0,1.0,1.0,300.0
Brooklyn,NY,870000.0,4.0,3.0,446.0
Brooklyn,NY,949000.0,3.0,2.0,514.0
Brooklyn,NY,299000.0,2.0,1.0,351.0
Brooklyn,NY,300000.0,2.0,1.0,
Brooklyn,NY,899000.0,,3.0,435.0
Brooklyn,NY,1249000.0,4.0,2.0,456.0
Brooklyn,NY,1299000.0,8.0,3.0,559.0
Brooklyn,NY,1249000.0,4.0,3.0,444.0
Brooklyn,NY,1129000.0,4.0,3.0,504.0
Brooklyn,NY,274000.0,2.0,1.0,322.0
Brooklyn,NY,769000.0,3.0,2.0,593.0
Brooklyn,NY,959000.0,,,
Brooklyn,NY,859000.0,3.0,2.0,807.0
Brooklyn,NY,975000.0,5.0,3.0,393.0
Brooklyn,NY,310000.0,1.0,1.0,609.0
Brooklyn,NY,679000.0,3.0,3.0,1469.0
Brooklyn,NY,1100000.0,3.0,4.0,781.0
Brooklyn,NY,810000.0,3.0,2.0,511.0
Brooklyn,NY,140000.0,0.0,1.0,333.0
Brooklyn,NY,150000.0,0.0,1.0,250.0
Brooklyn,NY,255000.0,0.0,1.0,505.0
Brooklyn,NY,1049000.0,3.0,3.0,396.0
Brooklyn,NY,749000.0,3.0,2.0,369.0
Brooklyn,NY,749000.0,3.0,2.0,577.0
Brooklyn,NY,225000.0,2.0,1.0,264.0
Brooklyn,NY,689000.0,3.0,3.0,377.0
Brooklyn,NY,175000.0,0.0,1.0,350.0
Brooklyn,NY,725000.0,3.0,3.0,353.0
Brooklyn,NY,710000.0,3.0,2.0,373.0
Brooklyn,NY,1299999.0,4.0,3.0,767.0
Brooklyn,NY,999000.0,6.0,5.0,520.0
Brooklyn,NY,1719000.0,4.0,3.0,740.0
Brooklyn,NY,665000.0,4.0,4.0,591.0
Brooklyn,NY,575000.0,2.0,1.0,575.0
