street_name,city,price,bedroom_number,price_per_unit,living_space,land_space,land_space_unit,property_type
217th Pl,Queens,799000.0,5.0,173.0,4617.0,8000.0,sqft,SINGLE_FAMILY
100th Avenue,Queens,420000.0,2.0,292.0,1438.0,3999.0,sqft,SINGLE_FAMILY
12 Hempstead Avenue,Queens,1500000.0,4.0,,,4576.0,sqft,MULTI_FAMILY
67 110 Avenue,Queens,689000.0,2.0,765.0,900.0,2325.0,sqft,SINGLE_FAMILY
49 Murdock Avenue,Queens,775000.0,3.0,,,2158.0,sqft,MULTI_FAMILY
15 83 Avenue UNIT A304,Queens,195000.0,1.0,,,,,CONDO
09 84th Dr #609,Queens,199000.0,1.0,,,,,CONDO
08 82 Avenue UNIT 302,Queens,515000.0,1.0,,,,,CONDO
37 Liverpool Street,Queens,949000.0,6.0,,,2500.0,sqft,MULTI_FAMILY
08 82nd Ave #5/2,Queens,424000.0,1.0,,,,,CONDO
16 213 Street,Queens,869000.0,4.0,,,4000.0,sqft,MULTI_FAMILY
08 82nd Avenue UNIT 502,Queens,424000.0,1.0,,,,,CONDO
Burden Cres APT 605,Queens,230000.0,1.0,,,,,CONDO
208th St,Queens,780000.0,3.0,267.0,2917.0,2917.0,sqft,SINGLE_FAMILY
34 Village Road UNIT 68C,Queens,349000.0,3.0,252.0,1380.0,,,CONDO
12 Tuskegee Airmen Way,Queens,888000.0,7.0,,,1200.0,sqft,MULTI_FAMILY
11 84th Drive,Queens,889000.0,3.0,526.0,1690.0,6139.0,sqft,SINGLE_FAMILY
01 138th Street,Queens,860000.0,3.0,,,4500.0,sqft,SINGLE_FAMILY
25 84th Drive UNIT STJ,Queens,469000.0,3.0,293.0,1600.0,,,CONDO
25 84th Dr #STJ,Queens,469000.0,3.0,293.0,1600.0,,,CONDO
36 89th Ave #2C,Queens,380000.0,1.0,641.0,592.0,,,CONDO
05 85th Dr APT 5A,Queens,225000.0,1.0,,,,,CONDO
35 84th Dr #5K,Queens,279000.0,2.0,74.0,3756.0,,,CONDO
05 Pershing Cres #1118,Queens,189000.0,1.0,,,,,CONDO
14 Village Road UNIT 93A2,Queens,215000.0,1.0,,,,,CONDO
84th Dr APT 6B,Queens,649000.0,2.0,654.0,992.0,0.3179,acres,CONDO
31 Liberty Avenue,Queens,1399000.0,8.0,,,2384.0,sqft,MULTI_FAMILY
29 Liberty Avenue,Queens,1399000.0,8.0,,,2668.0,sqft,MULTI_FAMILY
35 Liberty Avenue,Queens,1399000.0,9.0,,,1958.0,sqft,MULTI_FAMILY
18 102nd Avenue,Queens,1299000.0,8.0,,,1769.0,sqft,MULTI_FAMILY
27 Charter Rd UNIT 18,Queens,265000.0,2.0,,,,,CONDO
Hoover Ave APT 304,Queens,248000.0,1.0,,,,,CONDO
31 Van Wyck Expy #4F,Queens,295000.0,2.0,310.0,950.0,,,CONDO
45 Arlington Ter #2,Queens,1150000.0,6.0,,,,,TOWNHOUSE
05 Pershing Crescent UNIT 615,Queens,220000.0,1.0,,,,,CONDO
17 84th Dr,Queens,375000.0,0.0,681.0,550.0,,,SINGLE_FAMILY
54 Pershing Crescent,Queens,800000.0,3.0,,,1800.0,sqft,TOWNHOUSE
35 Charter Rd #8A,Queens,194999.0,1.0,259.0,750.0,,,CONDO
64 143rd Street,Queens,1089000.0,6.0,,,3870.0,sqft,MULTI_FAMILY
90 144th Street,Queens,999000.0,5.0,,,2369.0,sqft,MULTI_FAMILY
30 144th Street,Queens,1125000.0,3.0,,,839.0,sqft,MULTI_FAMILY
36 144th Street,Queens,1275000.0,5.0,,,968.0,sqft,MULTI_FAMILY
48 88th Road,Queens,1075000.0,3.0,,,975.0,sqft,MULTI_FAMILY
110th Ave,Queens,750000.0,3.0,386.0,1938.0,4000.0,sqft,MULTI_FAMILY
210th St,Queens,625000.0,3.0,388.0,1608.0,3000.0,sqft,SINGLE_FAMILY
34 144th Street,Queens,1325000.0,6.0,,,800.0,sqft,MULTI_FAMILY
20 139th St,Queens,1495000.0,4.0,622.0,2400.0,,,MULTI_FAMILY
08 110th Road,Queens,589000.0,4.0,,,2500.0,sqft,SINGLE_FAMILY
25 Murdock Avenue,Queens,799000.0,3.0,514.0,1554.0,2158.0,sqft,MULTI_FAMILY
215th Street,Queens,1189000.0,9.0,480.0,2475.0,3500.0,sqft,MULTI_FAMILY
03 216th Street,Queens,659000.0,3.0,,,2500.0,sqft,SINGLE_FAMILY
