price,monthly_payment,"Median household income (in 2022 dollars), 2018-2022",bedroom_number,property_type,Borough,can_afford
889000.0,5742.419419429049,,3.0,SINGLE_FAMILY,Queens,0
860000.0,5555.096401247449,,3.0,SINGLE_FAMILY,Queens,0
469000.0,3029.4653630058765,,3.0,CONDO,Queens,0
469000.0,3029.4653630058765,,3.0,CONDO,Queens,0
380000.0,2454.5774796209657,,1.0,CONDO,Queens,0
225000.0,1453.3682445124139,,1.0,CONDO,Queens,0
279000.0,1802.1766231953934,,2.0,CONDO,Queens,0
189000.0,1220.8293253904278,,1.0,CONDO,Queens,0
215000.0,1388.7741003118622,,1.0,CONDO,Queens,0
649000.0,4192.159958615808,,2.0,CONDO,Queens,0
1399000.0,9036.720773657187,,8.0,MULTI_FAMILY,Queens,0
1399000.0,9036.720773657187,,8.0,MULTI_FAMILY,Queens,0
1399000.0,9036.720773657187,,9.0,MULTI_FAMILY,Queens,0
1299000.0,8390.779331651669,,8.0,MULTI_FAMILY,Queens,0
265000.0,1711.744821314621,,2.0,CONDO,Queens,0
248000.0,1601.934776173683,,1.0,CONDO,Queens,0
295000.0,1905.5272539162759,,2.0,CONDO,Queens,0
1150000.0,7428.326583063448,,6.0,TOWNHOUSE,Queens,0
220000.0,1421.0711724121381,,1.0,CONDO,Queens,0
375000.0,2422.2804075206896,,0.0,SINGLE_FAMILY,Queens,0
800000.0,5167.531536044139,,3.0,TOWNHOUSE,Queens,0
194999.0,1259.5793524963387,,1.0,CONDO,Queens,0
1089000.0,7034.302303440084,,6.0,MULTI_FAMILY,Queens,0
999000.0,6452.955005635118,,5.0,MULTI_FAMILY,Queens,0
1125000.0,7266.8412225620705,,3.0,MULTI_FAMILY,Queens,0
1275000.0,8235.753385570346,,5.0,MULTI_FAMILY,Queens,0
1075000.0,6943.870501559311,,3.0,MULTI_FAMILY,Queens,0
750000.0,4844.560815041379,,3.0,MULTI_FAMILY,Queens,0
625000.0,4037.134012534484,,3.0,SINGLE_FAMILY,Queens,0
1325000.0,8558.724106573105,,6.0,MULTI_FAMILY,Queens,0
1495000.0,9656.824557982483,,4.0,MULTI_FAMILY,Queens,0
589000.0,3804.595093412497,,4.0,SINGLE_FAMILY,Queens,0
799000.0,5161.072121624084,,3.0,MULTI_FAMILY,Queens,0
1189000.0,7680.243745445602,,9.0,MULTI_FAMILY,Queens,0
659000.0,4256.75410281636,,3.0,SINGLE_FAMILY,Queens,0
1250000.0,8074.268025068967,,8.0,MULTI_FAMILY,Queens,0
739000.0,4773.507256420773,,3.0,SINGLE_FAMILY,Queens,0
599000.0,3869.1892376130486,,2.0,SINGLE_FAMILY,Queens,0
218000.0,1408.1523435720278,,1.0,CONDO,Queens,0
739000.0,4773.507256420773,,4.0,SINGLE_FAMILY,Queens,0
265000.0,1711.744821314621,,1.0,CONDO,Queens,0
284000.0,1834.4736952956694,,2.0,CONDO,Queens,0
248888.0,1607.670736178692,,1.0,CONDO,Queens,0
135000.0,872.0209467074484,,1.0,CONDO,Queens,0
254999.0,1647.1442176996493,,1.0,CONDO,Queens,0
225000.0,1453.3682445124139,,1.0,CONDO,Queens,0
699000.0,4515.130679618566,,3.0,SINGLE_FAMILY,Queens,0
5000000.0,32297.07210027587,,2.4719502074688795,LOT,Queens,0
674999.0,4360.098274122823,,3.0,SINGLE_FAMILY,Queens,0
269000.0,1737.5824789948417,,2.0,CONDO,Queens,0
955000.0,6168.74077115269,,8.0,MULTI_FAMILY,Queens,0
205000.0,1324.1799561113107,,2.0,CONDO,Queens,0
779000.0,5031.88383322298,,6.0,SINGLE_FAMILY,Queens,0
499000.0,3223.2477956075318,,2.0,CONDO,Queens,0
